equipamento_id,unidade,modelo,marca,tipo_equipamento,falhas,downtime_h,mttr_h,mtbf_h,disponibilidade_pct,taxa_falha_por_dia,ultima_falha
13020045.0,USA1,JD COLHEDORA CH670,JOHN DEERE,COLHEDORAS,268,564.5422222222222,2.1065008291873966,32.164844985434875,93.85346335512558,0.7342465753424657,2026-04-24 09:43:48
13020209.0,USA1,JD COLHEDORA CH570,JOHN DEERE,COLHEDORAS,259,541.2980555555556,2.089953882453883,33.51744186046512,94.13056237658296,0.7095890410958904,2026-04-25 16:19:00
13020197.0,USA1,JD COLHEDORA CH570,JOHN DEERE,COLHEDORAS,245,432.35,1.7646938775510206,35.72152550091075,95.29241970299906,0.6712328767123288,2026-04-25 15:27:51
13020163.0,USA1,JD COLHEDORA CH670,JOHN DEERE,COLHEDORAS,230,537.6786111111111,2.3377330917874395,22.695543425521592,90.6614977461259,0.6301369863013698,2025-12-21 03:07:46
13020161.0,USA1,JD COLHEDORA CH570,JOHN DEERE,COLHEDORAS,226,546.9119444444444,2.4199643559488693,35.37566419753087,93.59723743574024,0.6191780821917808,2026-03-25 07:10:42
13020193.0,USA1,JD COLHEDORA CH570,JOHN DEERE,COLHEDORAS,210,329.6405555555556,1.5697169312169312,41.68975943646996,96.37139174345289,0.5753424657534246,2026-04-25 20:16:00
13020037.0,USA1,JD COLHEDORA CH670,JOHN DEERE,COLHEDORAS,197,2387.7775,12.120697969543148,20.34642857142857,62.66778350634912,0.5397260273972603,2025-10-11 21:00:00
15150001.0,USA1,DM PLANTADEIRA DE CANA,DMB,IMPLEMENTOS AGRICOLAS,179,657.5666666666667,3.6735567970204843,48.94379057428215,93.01835424903227,0.4904109589041096,2026-04-25 17:31:00
13020233.0,USA1,JD COLHEDORA CH570,JOHN DEERE,COLHEDORAS,175,190.61638888888888,1.0892365079365078,47.41646072796935,97.75441531612455,0.4794520547945205,2026-04-26 02:20:00
15150002.0,USA1,DM PLANTADEIRA DE CANA,DMB,IMPLEMENTOS AGRICOLAS,170,445.66305555555556,2.6215473856209153,50.896428336620644,95.10155728006838,0.4657534246575342,2026-04-25 20:22:00
